ID,Apartment,House,Price,Size(sqm),Price/sqm,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Bedroom,Floor,Garage optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture optional,Elevator optional,Air conditioner optional,Details,Longitude,Latitude,Postcode,District,Lats,Lons,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21
0,1,0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,852.1217716076461,5732.995097558857,5734.572860668599,5734.71762771819,5732.625624493174,5733.874026758354,4138.181470468537,5733.762687248184,5733.383536463851,5733.0083669634105,5733.0083669634105,5731.670278394028,5736.588263823337,5733.355182848957,5736.76457458862,5733.369056113061,5732.214881700095,5732.250331355769,5734.12168808748,5734.635762154066,5739.660373031221,5732.618750002488,5737.367587580265,5733.05567314606,5732.668932139434,5736.224734335151,5733.022024105539,5732.6395502907735,5731.819941211338
1,1,0,30900000,2,15450000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,6.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale a 25 sqm apartment in Nagy Ignác utca close to Nyugati Pályaudvar and the Parlament. The garden/panoramic view apartment is situated on the top (6th) floor in a nice classical style building which has got an elevator. The flat consists of one room with gallery, open plan kitchen and bathroom. The common cost is only 8.000 HUF, including the water and the heating too! Public transportation connections are great, thanks to tram line 2, 4&6 and metro line 3, so it could be a great investment!",19.05064949,47.50997941,1055,5,47.50997941,19.05064949,0.4459135645072862,1.4962899217800507,2.6695449573070182,0.5263987885177649,2.17564014059827,17.10641854209084,0.21512481647635948,1.4694127084508075,2.0062520860000475,2.207138405828232,2.207138405828232,3.167445181801647,5.552981468727412,2.339245174297164,6.3625928602401265,1.0428474602329325,2.6829178855842835,3.5349189101749565,1.2700921659806776,1.2611131186089204,5.805572636190542,2.461835002697144,4.930329400032239,4.528520022317312,4.074184435150335,2.95455704077526,2.3140514565316352,2.809120085929101,2.7021741448233603
2,1,0,29900000,4,7475000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a one bedroom, unrenovated apartment in Thököly út. The street facing property is situated on the 3rd floor (no elevator) in a bauhaus-style building. The flat consists of 2 rooms, a hall, kitchen, bathroom, hallway. Could be a great investment.",19.10105035,47.51566683,1145,14,47.51566683,19.10105035,0.11875794381568221,4.339711246180446,2.046367617905082,3.3217249354883895,5.955990694719975,14.233598848243945,3.596866480395695,3.3168001787110626,3.4607578405004102,3.8096512351412803,3.8096512351412803,5.096529952513306,1.9515871034294348,3.363230482415594,2.76378193534695,4.211170277152847,4.597262215068551,4.323713987785939,3.079636252951881,2.7080587132646206,6.265392921310732,4.175676025307108,1.10809979910315,8.252577847692443,3.9411161030836652,5.41144691878304,3.7482932435965295,4.025084762346401,6.273871556962659
3,1,0,28990000,4,7247500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,,19.12825466,47.4846576,1102,10,47.4846576,19.12825466,3.416336466830477,5.9743997876893,3.820964187243756,6.119377909497692,8.00590880787115,10.637193016132379,4.604726016862717,5.1575737136585635,4.810748472615125,4.903866816493744,4.903866816493744,5.475349297513639,2.627274933277637,4.4670133039187006,2.4727666574433464,6.171024425258909,5.290466647502839,4.193237390244751,5.2285438730420015,5.255934228072917,10.268377040451124,5.02521072046521,3.9629923535937626,10.895709871460795,3.2368285784984554,8.945133656032656,4.763904030164267,4.574306450974305,7.87422535188247
4,1,0,29500000,4,7375000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 48 sqm renovated one bedroom courtyard facing property in Eötvös utca, close to Nyugati Railway Station and Oktogon. The apartment is situated on the 3rd floor in a nice classical building which does not have elevator. It contains a spacious livingroom with kitchen, a decent bedroom, a wardrobe and a bathroom. The property is located in a new built level which does not have usage permit and the entire top level is registered under one lot number (undivided common property).",19.05896836,47.51064487,1062,6,47.51064487,19.05896836,1.009371220452375,1.6885672490324375,2.132534242748148,0.16853844580464333,2.7774215308623433,16.590608282236413,0.4056085274948845,1.2310689455453563,1.7895760793580358,2.0754413267746186,2.0754413267746186,3.2305648132403393,4.932204977290007,2.071169152566245,5.744693934136465,1.3177364543760917,2.7023382611813025,3.360421010709402,0.9119391161036059,0.6975724019079921,5.739348992925555,2.400287965734841,4.304100507057997,5.135624126442797,3.767800911212709,3.201788693454936,2.1520796902027994,2.659755955619956,3.232057818740044
5,1,0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,852.1217716076461,5732.995097558857,5734.572860668599,5734.71762771819,5732.625624493174,5733.874026758354,4138.181470468537,5733.762687248184,5733.383536463851,5733.0083669634105,5733.0083669634105,5731.670278394028,5736.588263823337,5733.355182848957,5736.76457458862,5733.369056113061,5732.214881700095,5732.250331355769,5734.12168808748,5734.635762154066,5739.660373031221,5732.618750002488,5737.367587580265,5733.05567314606,5732.668932139434,5736.224734335151,5733.022024105539,5732.6395502907735,5731.819941211338
6,1,0,30500000,2,15250000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are advertising for sale in the 5th district, next to the Danube, in the Havas street, a ground floor studio apartment with a gallery. The apartment is facing the courtyard, the building is in good condition. The 28m2 apartment has a gallery of about 15 square meters. Because of the location, it's a good investment. Easy to dispense. Close to Fővám Square, Váci Street. Walk 4 metro, 2 and 47-49 trams.",19.05418957,47.48951424,1056,5,47.48951424,19.05418957,0.05796389119970445,0.8221850734581744,2.5902301526449945,2.4669902087646247,2.585064066829876,15.930471000007877,0.5920811453776043,1.3586474112303866,1.1088202090954729,0.7973457635231787,0.7973457635231787,0.8763360741226176,5.676206322389348,1.2969851489907618,6.368340271696012,1.2831180051068218,0.4483749485036807,1.6245310568566766,1.7127155026738439,2.2267342876772296,8.07620857372732,0.5663879189998775,5.624339106703605,5.61481173246867,2.4944206288540527,5.184062195638696,0.9063846334740627,1.027871883175214,2.290361828198327
7,1,0,28900000,4,7225000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.5,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 40 sqm apartment in district 9, Tűzoltó utca next to Corvin negyed. It is situated in a classical style building on the mezzaine floor. The flat consists of bedrooms, a kitchen with dining area, a bathroom and a toilet. Common charges: 8500 HUF /month including all utility costs. Heating: gas convector. Great opportunity for investment due to its perfect location and nice layout and design. It could be a profitable investment or an ideal home as well. High rental potential. The most popular part of the district is the inner part, within the boulevard. There are a lot of places to visit in Vámház körút, Üllői út, Ferenc körút and in the area bordered by the Danube. There are several touristic sites in this part of the district, like the monumental building complex of CET Shopping and Cultural Centre, the Museum of Applied Arts and the Great Market Hall. The river bank provides a wonderful view to Gellért Hill. The area bordered by Szabadság Bridge and Petőfi Bridge has exceptionally good traffic opportunities, thanks to Fővám tér, Corvin negyed and Kálvin tér. Metro lines no. 3 and 4 have several stations here. There are a lot of universities nearby, which makes the neighborhood ideal for students. ",19.06836007,47.48595744,1092,9,47.48595744,19.06836007,0.7354063115780727,1.772079591004302,2.073921045241082,2.9718817921298877,3.707957710778215,14.79464916251275,0.32095812952164915,1.6040512520341086,1.0525569411483329,0.7773213832859597,0.7773213832859597,1.0751498364484733,4.888604734175475,0.8701366339119783,5.511394246603859,2.1561567044103733,0.7876705682063027,0.5559935737263036,1.9514152808636591,2.403659992837417,8.541290955643342,0.6123632260730937,5.081623896970762,6.729347695221666,1.3586194212928786,5.937713059042291,0.682962914247795,0.1758526587816021,3.416165968248528
8,1,0,31900000,3,10633333.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,We are offering for sale a 37 sqm renovated studio apartment in district 2. Szépvölgyi út. The street facing property is situated on the first floor in a Bauhaus style building which has got an elevator. Because of the location it could be a great opportunity for investment or ideal home as well.,19.03710595,47.52886971,1036,3,47.52886971,19.03710595,0.7254094670158608,3.7389482883947536,4.652958175165139,2.4432667353123203,3.1952292207218944,19.030927736958827,0.6080527332993181,3.771787047162849,4.324316788651336,4.540686125864781,4.540686125864781,5.426052768700248,6.957801908631872,4.64135357353425,7.77839009618986,3.277391668953489,4.978817920278528,5.867840722174407,3.5036580567998508,3.267114429426398,3.90804106720972,4.788805426080343,5.9396732990593195,3.7064385978595964,6.36366654178026,0.6242866236976278,4.645619271148128,5.142703808536081,4.0539023866458885
9,1,0,31900000,3,10633333.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 32 sqm apartment in district 9., Lónyay utca, few steps from the Danube. This is sitauted in a classical building on the fourth floor, the windows are facing to the street. It consists of room with mezzanine floor, separated kitchen, bathroom and a balcony. The common cost is 9.500 HUF, it is included the unlimited water consumption.",19.06092645,47.48659643,1092,9,47.48659643,19.06092645,0.3818267855887542,1.3447548777922074,2.3818783125579537,2.794641706830563,3.1860521810016804,15.34266687390067,0.19590985527948485,1.5026393130568712,1.0467637339920735,0.6731554787787964,0.6731554787787964,0.6804421568687462,5.345823171410078,1.0567384858178723,5.998102389398669,1.7774326150081747,0.2294651080111046,1.023445478153036,1.8750013652603346,2.3755970958945296,8.417329558390062,0.2886313928453437,5.433079520097309,6.216066167975689,1.9123417524052113,5.653570036556732,0.6866562516278286,0.5039538856860262,2.857961422804608
