ID,Apartment,House,Price,Size(sqm),Price/sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Bedroom,Floor,Garage optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture optional,Elevator optional,Air conditioner optional,Details,Longitude,Latitude,Postcode,District,Lats,Lons,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21
0,1,0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,852.1217716076461,5732.995097558857,5734.572860668599,5734.71762771819,5732.625624493174,5733.874026758354,4138.181470468537,5733.762687248184,5733.383536463851,5733.0083669634105,5733.0083669634105,5731.670278394028,5736.588263823337,5733.355182848957,5736.76457458862,5733.369056113061,5732.214881700095,5732.250331355769,5734.12168808748,5734.635762154066,5739.660373031221,5732.618750002488,5737.367587580265,5733.05567314606,5732.668932139434,5736.224734335151,5733.022024105539,5732.6395502907735,5731.819941211338
1,1,0,135000,2,67500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 20 sqm furnished apartment in district 6, in Paulay Ede utca. It is situated in a classical building on the 1th floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room with american kitchen, galery, 1 bathroom and toilet. Only long term rent!",19.056376999999998,47.50205041,1065,6,47.50205041,19.056376999999998,0.7907234322105108,0.7479612556481975,2.0644346365601822,1.0643611792040673,2.386823606070348,16.327383024087837,0.04686652175389939,0.5797683174825679,1.051760311427881,1.2263597393366907,1.2263597393366907,2.265434868711827,5.164203378662129,1.4019274744150512,5.94004154193625,0.5335241645180047,1.7491894047681114,2.5545708397706224,0.6157997954024547,1.0088381371162445,6.684872180813298,1.4905884536536282,4.787303810046075,5.160245680719543,3.13038487411345,3.935289857696843,1.3359291268590279,1.8282420650066793,2.594387140346886
2,1,0,-1,5,-0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,One bedroom apartment is available for rent in Pannónia street next to Vígszinház. Totally equipped and furnished apartment. There is no bed in the bedroom. Common cost is 7500 HUF. ,-1.0,-1.0,-1,-1,-1.0,-1.0,852.1217716076461,5732.995097558857,5734.572860668599,5734.71762771819,5732.625624493174,5733.874026758354,4138.181470468537,5733.762687248184,5733.383536463851,5733.0083669634105,5733.0083669634105,5731.670278394028,5736.588263823337,5733.355182848957,5736.76457458862,5733.369056113061,5732.214881700095,5732.250331355769,5734.12168808748,5734.635762154066,5739.660373031221,5732.618750002488,5737.367587580265,5733.05567314606,5732.668932139434,5736.224734335151,5733.022024105539,5732.6395502907735,5731.819941211338
3,1,0,140000,3,46666.66667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer a 36 sqm apartment in district 19. in Kossuth Lajos utca. It is situated in a newly built building on the 4th floor. The windows are facing to the street. It consists of a living room, american kitchen, 1 bathroom and toilet. Only long term rent! ",19.04990877,47.51429499,1137,13,47.51429499,19.04990877,0.23195093575253276,1.9770554295720497,2.9244543408428583,0.6260753486383491,2.380017208098291,17.38241256583674,0.13518639904778984,1.8880237785978657,2.4400361667237522,2.665338941204922,2.665338941204922,3.6505296671665266,5.646147434342508,2.758657480059401,6.465414696699655,1.5198838521907967,3.164385092381284,3.9891003433204575,1.6352570688507924,1.4897473273186441,5.3289644740495525,2.9343731011173344,4.909105620739838,4.419090263459982,4.486098436868836,2.4988955348642077,2.765870452958187,3.266731108520513,3.0128764107440085
4,1,0,110000,4,27500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 45 sqm furnished apartment in district 9. in Angyal utca. It is situated in a classical building on the ground. The windows are facing to the courtyard. T It consists of a living room with galery, kitchen, 1 bathroom and toilet. Only long term rent! ",19.17003558,47.44648103,1181,18,47.44648103,19.17003558,0.6046292288784605,10.55521829929244,8.902721901266963,11.14923925717318,12.519825567802465,6.246403246815473,6.445949798658585,9.978157609534268,9.507577238601082,9.460446205702038,9.460446205702038,9.456421345068309,7.662821537207968,9.149360823671746,7.158397113308937,10.871827687790253,9.524517993405615,8.31386009896419,10.148430627960213,10.296809725656988,15.542138301144867,9.42362026679948,9.079704184460454,15.542912974735586,7.480320272406916,14.105063371881263,9.321207474310539,8.951040073307283,12.13798533796466
5,1,0,135000,2,67500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,2.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 21 sqm furnished studio apartment in district 5. in Mérleg utca. It is situated in a classical building on the 2th floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room with american kitchen+galery ,1 bathroom and toilet.",19.06896205,47.48534604,1092,9,47.48534604,19.06896205,0.6659538699955337,1.8511363308718791,2.1061997764805525,3.049940429264953,3.779748052065497,14.72831324924929,0.34553788086017256,1.6808253571096292,1.1272243436965126,0.8581558224980294,0.8581558224980294,1.0887110424148476,4.884585684128883,0.9311807472347485,5.498843607805424,2.2371958494995616,0.839183692387277,0.4743636624011267,2.0258380899239863,2.473800265710114,8.614557720950355,0.6891821531304484,5.100513313236034,6.802936019778144,1.2940498319640694,6.018545800194604,0.7614429078456938,0.25617495526448625,3.477078058925338
6,1,0,140000,1,140000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"Rent a nice room in a shared 5 bedroom apartment in district 6, in Eötvös utca. It is situated in a classical building on the 4th floor. The windows are facing to the street. The apartment is newly renovated. It consists of a hall, kitchen, 5 bedrooms, 1 bathroom and toilet. Utilitiy 12000 HUF including Internet. Only long term rent. Rent fee of Rooms 250 eur- 350 eur for a girl.",19.04868221,47.5010901,1051,5,47.5010901,19.04868221,0.22114347326391814,0.5300433553293812,2.6414416008961457,1.3339638480200664,1.8080420133050252,16.806533750189683,0.6318326803122634,1.1176974103044657,1.4645126609990713,1.5092064389242803,1.5092064389242803,2.21815435629297,5.751344526834288,1.8228967361988637,6.525144985071132,0.08562554852067879,1.7788478566583248,2.793229386618909,1.2033125494359533,1.555941563546621,6.800141049531929,1.6503998393269337,5.3618123970804925,4.6540332648010825,3.4907141798278336,3.8323945913299293,1.6438033501405978,2.075757649336507,2.0208272927634336
7,1,0,96000,3,32000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,2.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 35 sqm furnished apartment in district 7, Rákóczi street. It is situated in a classical building on the 2nd floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room, kitchen, gallery, 1 bathroom and toilet. Common cost is 9500HUF/month. Utilities depend on the used amount. Only long term rent. ",19.06027437,47.50937258,1067,6,47.50937258,19.06027437,1.1494048788782623,1.5995085987141968,1.9798879126814641,0.3373929897977539,2.8212136589208185,16.436674009621733,0.4605299506119095,1.0695205492298883,1.6257888898409814,1.9198410432469066,1.9198410432469066,3.0993262223244775,4.828280057027231,1.902112235838569,5.636932517689556,1.260589436760051,2.5658995754133387,3.196167623349629,0.7420324438563244,0.5476791179004357,5.88771283513626,2.2525551640666297,4.242481546899802,5.2529326293349365,3.5958869635268247,3.3739359780190763,1.9923625913583518,2.499525366364066,3.2321376233111714
8,1,0,135000,3,45000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,5.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer a 36 sqm furnished studio apartment in district 2. in Keleti Károly utca. It is situated in a classical building on the 5th floor. The windows are facing to the street. It consists of a living room with balcony,kitchen, 1 bathroom and toilet. Common cost is 10350 Ft/month(water included).Only long term rent! ",19.07124107,47.49931292,1074,7,47.49931292,19.07124107,1.157715950082052,1.5738046081765575,0.9746095523334737,1.7249601609655782,3.5100841842312955,15.190030963103085,0.9412025089753879,0.5885382601268232,0.5844659071831346,0.952885803088153,0.952885803088153,2.2883426371442273,4.12191527602904,0.6312763684931688,4.8680837575173745,1.6327379816357994,1.7556503346610852,1.943054872050354,0.6806170441143993,0.9690990687825733,7.107347642958545,1.3390852142897456,3.9500334695760175,6.316178274059826,2.2143780020910384,4.762897181382481,0.9275874231444456,1.3502776688316462,3.5883661868917764
9,1,0,125000,5,25000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"First letting of this nicely furnished, one bedroom apartment located in residential new development, Toscana Garden. It is fully furnished, first floor apartment. It consists of entrance hall, bright open plan living/dining room, fully equipped kitchen with fridge, oven, microwave, exhaust fan, one double, bright bedroom with bathroom and including washing machine. The Toscana Gardens is located in the 9th District, in Lenhossék Street. The building is close to the Danube, the Hungarian National Theatre and also to a big shopping center Lurdy Ház, where a large cinema and many shops are opened for the visitors. The transport is easy and fast to the center with the tram no. 30, no. 4 and no. 6, and also with the metro. ",19.02772311,47.51344399,1022,2,47.51344399,19.02772311,0.6330252906859515,2.5533691987607208,4.422846022365855,2.225657643948512,1.3593876061583776,18.816676509122903,1.7622394228807907,3.073335828363642,3.5240434028772665,3.598488091789008,3.598488091789008,4.102859810680142,7.294782321884592,3.8823358143356876,8.109804493320835,2.174746882852264,3.7698137517602532,4.868423724344484,2.974370597535113,3.02556930721274,5.759941441447067,3.7177692062819303,6.576193071273677,2.7684011329545553,5.5778801539513605,2.3593672413268107,3.7323485179115545,4.159589117754163,2.2374271779191557
