ID,Apartment,House,Price,Size(sqm),Price/sqm,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Bedroom,Floor,Garage optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture optional,Elevator optional,Air conditioner optional,Details,Longitude,Latitude,Postcode,District
0,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
1,1,0,30900000,2,15450000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,6,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale a 25 sqm apartment in Nagy Ignác utca close to Nyugati Pályaudvar and the Parlament. The garden/panoramic view apartment is situated on the top (6th) floor in a nice classical style building which has got an elevator. The flat consists of one room with gallery, open plan kitchen and bathroom. The common cost is only 8.000 HUF, including the water and the heating too! Public transportation connections are great, thanks to tram line 2, 4&6 and metro line 3, so it could be a great investment!",19.05064949,47.50997941,1055,5
2,1,0,29900000,4,7475000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a one bedroom, unrenovated apartment in Thököly út. The street facing property is situated on the 3rd floor (no elevator) in a bauhaus-style building. The flat consists of 2 rooms, a hall, kitchen, bathroom, hallway. Could be a great investment.",19.10105035,47.51566683,1145,14
3,1,0,28990000,4,7247500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1, Garden,0,0,1,0,0,0,0,1,1,1,,19.12825466,47.4846576,1102,10
4,1,0,29500000,4,7375000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 48 sqm renovated one bedroom courtyard facing property in Eötvös utca, close to Nyugati Railway Station and Oktogon. The apartment is situated on the 3rd floor in a nice classical building which does not have elevator. It contains a spacious livingroom with kitchen, a decent bedroom, a wardrobe and a bathroom. The property is located in a new built level which does not have usage permit and the entire top level is registered under one lot number (undivided common property).",19.05896836,47.51064487,1062,6
5,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
6,1,0,30500000,2,15250000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are advertising for sale in the 5th district, next to the Danube, in the Havas street, a ground floor studio apartment with a gallery. The apartment is facing the courtyard, the building is in good condition. The 28m2 apartment has a gallery of about 15 square meters. Because of the location, it's a good investment. Easy to dispense. Close to Fővám Square, Váci Street. Walk 4 metro, 2 and 47-49 trams.",19.05418957,47.48951424,1056,5
7,1,0,28900000,4,7225000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.5,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 40 sqm apartment in district 9, Tűzoltó utca next to Corvin negyed. It is situated in a classical style building on the mezzaine floor. The flat consists of bedrooms, a kitchen with dining area, a bathroom and a toilet. Common charges: 8500 HUF /month including all utility costs. Heating: gas convector. Great opportunity for investment due to its perfect location and nice layout and design. It could be a profitable investment or an ideal home as well. High rental potential. The most popular part of the district is the inner part, within the boulevard. There are a lot of places to visit in Vámház körút, Üllői út, Ferenc körút and in the area bordered by the Danube. There are several touristic sites in this part of the district, like the monumental building complex of CET Shopping and Cultural Centre, the Museum of Applied Arts and the Great Market Hall. The river bank provides a wonderful view to Gellért Hill. The area bordered by Szabadság Bridge and Petőfi Bridge has exceptionally good traffic opportunities, thanks to Fővám tér, Corvin negyed and Kálvin tér. Metro lines no. 3 and 4 have several stations here. There are a lot of universities nearby, which makes the neighborhood ideal for students. ",19.06836007,47.48595744,1092,9
8,1,0,31900000,3,10633333.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,1,1, Street,0,0,0,0,0,0,1,1,1,1,We are offering for sale a 37 sqm renovated studio apartment in district 2. Szépvölgyi út. The street facing property is situated on the first floor in a Bauhaus style building which has got an elevator. Because of the location it could be a great opportunity for investment or ideal home as well.,19.03710595,47.52886971,1036,3
9,1,0,31900000,3,10633333.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,4,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 32 sqm apartment in district 9., Lónyay utca, few steps from the Danube. This is sitauted in a classical building on the fourth floor, the windows are facing to the street. It consists of room with mezzanine floor, separated kitchen, bathroom and a balcony. The common cost is 9.500 HUF, it is included the unlimited water consumption.",19.06092645,47.48659643,1092,9
10,1,0,29800000,2,14900000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offer for sale 28 sqm studio apartment in district VI. Located between Nyugati and the Opera, this is a first-floor, courtyard flat with excellent facilities. Entering the fully refurbished flat, we arrive at a kitchen equipped with a security door, leading to a living room with the dining area. The living room has a space separator to provide privacy for the sleeping area. A comfortable wardrobe is at your disposal to store your convenience stuff. The bathroom has a youthful design, recently built, so you can be the first one to enjoy the built-in shower first.The apartment was built from scratch, so everything is brand new, and you can benefit the guarantee. It has very low common cost (about 11k HUF).",19.05584225,47.5088348,1065,6
11,1,0,31800000,3,10600000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,3,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 31 m2 furnished studio apartment on the 3rd floor. It is located at the beginning of Akácfa Street, 2 minutes walk from the Blaha Boulevard, near the Emke Hotel, in the middle of the party area. The common cost is 11500 HUF, which includes unlimited water consumption. The facade was renewed last year. Excellent investment, high rental yield.",19.06801904,47.49875613,1072,7
12,1,0,28900000,3,9633333.333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 33 sqm furnished apartment in district 6, Izabella utca next to Andrássy út. It is situated in a classical style building on the ground floor. The flat consists of a bedroom, a kitchen with dining area, and a bathroom with a toilet. Windows are facing to the the inner courtyard. Common charges: 8500 HUF /month including water fee and all utility costs. Heating: gas convector. Great opportunity for investment due to its perfect location. It could be a profitable investment or an ideal home as well. High rental potential. Andrássy út, which is a UNESCO World Heritage Site, is easy to reach from here. There are several coffee houses, restaurants and pedestrian areas in the district. Mostly classical-style villas and embassies are located here. The Heroes’ Square is also nearby, which is one of the most popular touristic sites of district 6. Városliget (City Park) provides several sport and entertainment opportunities (Museum of Fine Arts, Széchenyi Thermal Bath, Budapest Zoo and Botanical Garden). The district provides exceptionally good traffic opportunities: metro line no. 1, tram line no. 4 and 6., trolley line no. 76, train (Nyugati railway station). ",19.06660652,47.50839951,1064,6
13,1,0,28990000,4,7247500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale newly built apartments in a condominium in district 10, next to Szent László tér and Városközpont. These apartments are between 28 sqm and 96 sqm and they are situated in a 4-storey building. The street is quiet, wide, nonetheless free from transit traffic. The building is in the best part of the district , in the neighbourhood there is a school, kindergarten, shopping malls, public transport hub. Heating: geothermal, electricity: by sun collectors. Now you can choose the clolours and wall coverings. It will be finished till Autumn of 2019. For further information, floorplan and viewing please call me!",19.1305902,47.48782986,1102,10
14,1,0,40990000,7,5855714.286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 72 sqm apartment in József Street (District VIII.), close to the Rákóczi Square, close to Hungarian Elte University. It is situated in a classical building on the 1st floor. The street facing property consists of 3 rooms (1 with gallery), a kitchen, a hall, a bathroom and a pantry. The public transportation connections are superb so it could be a great investment or ideal home as well.",19.07087291,47.49207243,1085,8
15,1,0,150000000,9,16666666.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1, River Danube,0,0,0,0,1,0,0,1,1,1,"We are offering for sale a 95 sqm luxury apartment on Belgrád rakpart next to Duna korzó. The panoramic view property situated in a classical building which built in the year 1900's. The flat consists of 2 bedrooms, 2 bathrooms, an open plan kitchen, a living room, a separate toilet and a washing room. The apartment is under renovation. Great opportunity for investment or a home. (pictures made from the previously completed apartments, or visuals)",19.05023372,47.49251556,1052,5
16,1,0,39760000,6,6626666.667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale newly built apartments in a condominium in district 10, next to Szent László tér and Városközpont. These apartments are between 28 sqm and 96 sqm and they are situated in a 4-storey building. The street is quiet, wide, nonetheless free from transit traffic. The building is in the best part of the district , in the neighbourhood there is a school, kindergarten, shopping malls, public transport hub. Heating: geothermal, electricity: by sun collectors. Now you can choose the clolours and wall coverings. It will be finished till Autumn of 2019. For further information, floorplan and viewing please call me!",19.13001574,47.48790124,1102,10
17,1,0,48000000,6,8000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale an unrenovated, one bedroom apartment in Révay utca. The courtyard facing property is situated on the 1st floor in a nice classical style building. The flat consists of one bedroom, a livingroom, a kitchen, bathroom, pantry. The common cost is 20.000 HUF. Could be a great investment!",19.05516605,47.50313888,1065,6
18,1,0,36800000,8,4600000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale an unrenovated, 85sqm apartment in Kiss József utca. The street facing property is situated on the 2nd floor in building which has not elevator. The flat consists of 2 bedrooms, a livingroom, , kitchen, bathroom, separate toilet. Common cost is 15.000 HUF. Could be a great investment.",19.07349126,47.49764018,1088,8
19,1,0,37623300,4,9405825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,3,1,1, Panoramic,0,0,0,1,0,0,0,1,1,1,"Great homes, Rejuvenation area, Excellent investment In the dynamically developing part of district IX, close to the National Theater and the Palace of Arts we offer for sale this newly built project, located only a few blocks from the Danube. The construction will be done in 6 phases, 3 buildings will have 6 staircases with a total of 520 apartments with well-thought floor plans and inner design. Award winning architect studio created the lay out concepts of the residential homes. On the street level the commercial spaces will accommodate a supermarket, a bank, a pharmacy, a household store and restaurants. Due to its central position and its well serviced and strongly developing infrastructure it can be a great option to a wide range of buyers, students, young professionals, families, investors with a goal of renting the units out. The area has undergone spectacular development, which going to continue with the construction of the new convention centre and class A office premises on the Danube bank. This apartment is located on the 3rd floor, has studio, faces east its base space is 42 sqm and has a 12 sqm terrace. For site visit, further information and units feel free to contact us. ",19.07638754,47.47369873,1097,9
20,1,0,265000000,25,10600000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,1,1, Street,0,0,0,0,0,0,1,1,1,1,_,18.94690737,47.56218778,1029,2
21,1,0,99000000,7,14142857.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,1,1, Square,0,0,0,0,0,1,0,1,1,1,"We are offering for sale 72 sqm unrenovated property in József nádor tér. The property is situated on the 5th floor in a good condition building which has an elevator. Thr property consists of 2 bedrooms, living room, 8 sqm balcony, kitchen, bathroom and seperate toilet. Common cost 26.600 HUF/month which include the heating. The apartment has a storage in the basement as well. It could be great opportunity for investment or ideal home as well.",19.04918804,47.49925945,1051,5
22,1,0,42000000,6,7000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 67 sqm apartment in district 7, Akácfa utca. It is situated in a classical style building on the 3rd floor. The flat consists of 1 bedroom, a living room, a kitchen with dining area, a pantry, and bathroom with a toilet. Windows are facing to the inner courtyard. Common charges: 12000 HUF /month. Heating: gas convector. It has got a cellar. Great opportunity for investment due to its perfect location. It could be a profitable investment or an ideal home as well. High rental potential. The inner part of the 7th district is one of the most dynamically developing areas of Budapest with several music clubs, restaurants and coffee houses. One of the most popular entertainment areas of the city center, Gozsdu garden is also here. The most famous touristic site of the district is the Dohány Street Synagogue. Thanks to the easy availability of Deák Ferenc tér and Astoria, 3 metro lines, several tram and trolley lines are only a few minutes away. ",19.06220122,47.50312632,1061,6
23,1,0,46450000,8,5806250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,1,1, Street,0,0,0,0,0,0,1,1,1,1,,19.08365139,47.49051002,1086,8
24,1,0,199000000,12,16583333.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1, Street,0,0,0,0,0,0,1,1,1,1,,19.04521127,47.50612512,1055,5
25,1,0,33400000,6,5566666.667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 33 sqm apartment in district 8, Bezeredi street. It is situated in a classical building on the floor. The flat consists of bedrooms, a living room, a kitchen, a bathroom and toilet. Windows are facing to the inner courtyard. Metro line no. 2 and 4, bus lines, tram line no. 4 and 6 and trolley-bus lines run here. Great opportunity for investment due to its perfect location. It could be a profitable investment or an ideal home as well.",19.07281483,47.49825597,1074,7
